                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95325,                0.76947,                0.96695,                  0.816,                0.78686,                0.82556,                 0.5604,                 1.0508,                 1.0625,                 1.0109,                0.00038,                0.00038,                0.00038
                      2,                0.93235,                0.68356,                0.93179,                0.84504,                0.80881,                0.86539,                0.60384,                 1.0156,                  0.755,                0.97981,             0.00077228,             0.00077228,             0.00077228
                      3,                0.95487,                0.68243,                 0.9358,                0.77193,                0.80906,                0.80026,                0.53752,                0.98972,                 0.7871,                 0.9735,              0.0011566,              0.0011566,              0.0011566
                      4,                0.95096,                0.68692,                0.93103,                0.81135,                0.79218,                0.85505,                0.58924,                   1.04,                0.75709,                0.97471,              0.0015331,              0.0015331,              0.0015331
                      5,                0.96632,                0.68959,                0.93512,                0.85667,                0.75844,                0.84305,                0.58026,                 1.0151,                0.77334,                0.97692,              0.0019016,              0.0019016,              0.0019016
                      6,                0.95392,                0.68657,                0.94493,                0.82712,                0.79485,                0.84777,                0.59151,                0.99775,                0.77404,                0.97577,               0.001901,               0.001901,               0.001901
                      7,                0.98188,                0.67663,                0.93359,                0.84715,                0.78419,                0.85286,                0.58787,                 1.0513,                0.74071,                 1.0097,              0.0018812,              0.0018812,              0.0018812
                      8,                0.92161,                0.66567,                0.93372,                0.81947,                0.80195,                0.85621,                 0.5841,                 1.0226,                0.71994,                0.99587,              0.0018614,              0.0018614,              0.0018614
                      9,                0.92517,                0.65361,                0.93961,                0.83169,                0.82948,                0.87112,                0.61816,                0.97588,                 0.7099,                0.96811,              0.0018416,              0.0018416,              0.0018416
                     10,                0.92675,                 0.6484,                0.93436,                0.83847,                0.80817,                0.86243,                0.60864,                0.99392,                0.76354,                0.97997,              0.0018218,              0.0018218,              0.0018218
                     11,                0.93606,                0.64633,                0.93651,                0.85159,                0.81537,                 0.8651,                0.60632,                0.97978,                0.69138,                0.96757,               0.001802,               0.001802,               0.001802
                     12,                0.91709,                0.62944,                0.92209,                 0.8558,                0.82748,                0.87935,                0.63716,                0.96752,                0.69745,                0.95776,              0.0017822,              0.0017822,              0.0017822
                     13,                0.89369,                0.62286,                0.91884,                0.79873,                0.80639,                0.85011,                0.60466,                0.96705,                0.78013,                0.96392,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.9121,                0.61497,                0.92781,                0.82154,                0.81528,                0.86949,                0.62011,                0.97072,                  0.691,                0.96221,              0.0017426,              0.0017426,              0.0017426
                     15,                0.91123,                 0.6133,                0.92682,                0.84004,                0.83748,                 0.8782,                0.63033,                0.97288,                0.63575,                0.96481,              0.0017228,              0.0017228,              0.0017228
                     16,                0.94157,                0.62501,                0.93823,                0.85909,                0.80462,                0.87992,                0.63515,                0.98682,                0.63721,                0.97145,               0.001703,               0.001703,               0.001703
                     17,                0.92841,                0.62445,                0.93023,                0.83483,                 0.8206,                0.87282,                0.63745,                0.95087,                0.63318,                0.95784,              0.0016832,              0.0016832,              0.0016832
                     18,                0.86532,                0.58274,                0.91489,                0.85576,                0.81972,                0.87415,                0.63397,                0.97028,                0.62767,                0.97261,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.8752,                0.58658,                0.91044,                0.84966,                0.82504,                0.88176,                0.63191,                0.96394,                0.64868,                0.96113,              0.0016436,              0.0016436,              0.0016436
                     20,                0.88753,                0.59705,                0.92043,                 0.8467,                0.80442,                0.87154,                0.62718,                0.98155,                0.63157,                0.96534,              0.0016238,              0.0016238,              0.0016238
                     21,                0.86467,                0.58655,                0.90504,                0.85211,                0.80551,                0.87021,                0.62528,                0.96971,                0.63879,                0.95445,               0.001604,               0.001604,               0.001604
                     22,                0.90764,                0.59283,                0.91476,                0.86874,                0.81794,                0.87622,                0.62637,                 0.9761,                0.64348,                0.95685,              0.0015842,              0.0015842,              0.0015842
                     23,                0.85791,                0.59301,                0.90674,                 0.8508,                0.82504,                0.88427,                0.62831,                0.98729,                0.63641,                0.96619,              0.0015644,              0.0015644,              0.0015644
                     24,                0.87982,                0.59006,                0.90665,                 0.8377,                0.83304,                0.87714,                0.62587,                0.98139,                0.63969,                0.96633,              0.0015446,              0.0015446,              0.0015446
                     25,                0.85121,                0.57348,                0.90778,                0.80433,                0.84014,                0.86425,                0.62673,                0.95287,                0.66411,                0.96195,              0.0015248,              0.0015248,              0.0015248
                     26,                0.84948,                0.56312,                0.90571,                0.84824,                0.81883,                0.87785,                0.63783,                0.95846,                 0.6002,                0.96439,               0.001505,               0.001505,               0.001505
                     27,                0.86674,                0.55824,                0.90378,                0.85066,                0.81972,                0.87883,                0.63379,                0.94195,                0.58866,                0.95865,              0.0014852,              0.0014852,              0.0014852
                     28,                0.86361,                 0.5604,                0.91171,                0.86016,                0.80462,                0.86905,                0.62877,                0.95694,                0.60548,                0.96125,              0.0014654,              0.0014654,              0.0014654
                     29,                0.85637,                0.55314,                0.91048,                0.85696,                0.82327,                0.87184,                0.64208,                0.94946,                0.62362,                0.95518,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.8588,                0.55195,                0.90105,                0.85166,                0.82601,                0.87469,                  0.643,                0.93864,                0.60844,                0.95844,              0.0014258,              0.0014258,              0.0014258
                     31,                0.86894,                0.54555,                0.91283,                0.83911,                0.83393,                0.87559,                0.64029,                0.94941,                0.59293,                0.96019,               0.001406,               0.001406,               0.001406
                     32,                 0.8434,                0.54913,                0.90532,                0.85736,                0.82149,                0.88252,                0.65936,                0.94331,                0.57997,                0.95832,              0.0013862,              0.0013862,              0.0013862
                     33,                0.83355,                0.54044,                0.90391,                0.83499,                0.83588,                0.87111,                0.64668,                0.94854,                0.59127,                0.95212,              0.0013664,              0.0013664,              0.0013664
                     34,                0.84487,                 0.5427,                0.90587,                0.85847,                0.82422,                0.88634,                0.64691,                0.96749,                 0.6086,                0.95202,              0.0013466,              0.0013466,              0.0013466
                     35,                0.84017,                0.54105,                0.89617,                0.86163,                0.82416,                0.88698,                0.64048,                0.97648,                0.57824,                0.96767,              0.0013268,              0.0013268,              0.0013268
                     36,                0.83845,                 0.5344,                0.90807,                0.82319,                0.85174,                0.88372,                0.64521,                0.94747,                0.59002,                 0.9438,               0.001307,               0.001307,               0.001307
                     37,                0.82494,                0.53186,                0.90182,                0.84946,                0.80995,                0.86647,                0.62013,                0.95775,                0.62335,                0.95532,              0.0012872,              0.0012872,              0.0012872
                     38,                0.84322,                0.53764,                0.91161,                0.85113,                0.83304,                0.87757,                0.63749,                0.97219,                0.59716,                0.96656,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.8159,                0.52782,                0.90154,                0.83988,                0.84014,                0.87548,                0.63464,                0.96236,                0.59943,                0.96395,              0.0012476,              0.0012476,              0.0012476
                     40,                0.83208,                0.52919,                0.89509,                0.84116,                0.83126,                0.87487,                0.63349,                0.95705,                0.60648,                0.95275,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.8314,                0.53415,                0.89569,                0.84417,                0.85346,                0.87745,                0.64253,                0.95133,                0.58047,                0.96042,               0.001208,               0.001208,               0.001208
                     42,                 0.8106,                0.51606,                0.88972,                0.86173,                0.81172,                0.87559,                0.64852,                0.93761,                 0.5876,                0.95585,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.8145,                 0.5213,                0.89114,                0.85963,                0.81972,                0.88155,                0.63693,                0.95188,                0.57935,                0.95998,              0.0011684,              0.0011684,              0.0011684
                     44,                0.83503,                0.52015,                0.90327,                 0.8427,                0.82327,                0.87508,                0.63587,                0.94223,                0.58749,                0.95105,              0.0011486,              0.0011486,              0.0011486
                     45,                0.81405,                0.52176,                0.89934,                 0.8486,                0.83215,                0.88099,                 0.6459,                0.93579,                0.57885,                0.95189,              0.0011288,              0.0011288,              0.0011288
                     46,                0.82167,                0.52111,                0.89436,                0.85056,                0.84281,                 0.8814,                0.64637,                0.94228,                0.57323,                0.95833,               0.001109,               0.001109,               0.001109
                     47,                0.80299,                0.51574,                0.89684,                0.85854,                0.83215,                0.87659,                0.65199,                0.94703,                0.57273,                0.96798,              0.0010892,              0.0010892,              0.0010892
                     48,                0.81306,                 0.5058,                0.89666,                0.87569,                0.82948,                0.89121,                0.66207,                0.93678,                0.56592,                 0.9588,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78125,                0.49921,                 0.8918,                0.85672,                0.83904,                0.87277,                0.64914,                0.94219,                0.60224,                0.95964,              0.0010496,              0.0010496,              0.0010496
                     50,                0.79196,                0.50154,                0.89503,                0.83643,                0.83304,                0.87762,                0.65243,                0.93284,                0.59129,                 0.9522,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.7823,                0.49796,                0.89035,                0.87262,                0.82742,                0.87668,                0.65321,                 0.9468,                0.56718,                0.97628,                0.00101,                0.00101,                0.00101
                     52,                0.78367,                0.49383,                0.88351,                0.82718,                0.84725,                0.88138,                0.64545,                0.94868,                0.59791,                0.96533,              0.0009902,              0.0009902,              0.0009902
                     53,                0.77275,                0.48669,                0.88353,                0.85848,                0.83837,                0.88653,                0.65497,                 0.9347,                0.56985,                0.96005,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.7942,                 0.4852,                0.89416,                0.84721,                0.85687,                0.89573,                0.66571,                0.95342,                0.56809,                0.96568,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.8042,                0.49095,                0.88627,                0.86954,                0.83837,                0.88463,                0.65947,                0.92327,                0.55421,                0.94827,              0.0009308,              0.0009308,              0.0009308
                     56,                0.76661,                0.47836,                0.88169,                0.85686,                0.85702,                 0.8825,                0.65124,                0.93594,                0.56179,                0.96693,               0.000911,               0.000911,               0.000911
                     57,                0.76394,                0.47899,                0.87593,                0.84617,                0.83925,                0.86984,                 0.6349,                0.95168,                0.56909,                0.97099,              0.0008912,              0.0008912,              0.0008912
                     58,                0.78686,                0.48915,                0.89207,                0.83242,                 0.8357,                0.86966,                0.63731,                0.94475,                0.57508,                0.95663,              0.0008714,              0.0008714,              0.0008714
                     59,                0.78433,                0.48217,                0.88744,                0.84688,                0.83503,                0.87742,                0.65143,                 0.9342,                0.55959,                0.95332,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.7575,                0.47535,                0.87785,                0.82379,                0.83304,                 0.8654,                0.64097,                0.92487,                 0.5607,                0.94886,              0.0008318,              0.0008318,              0.0008318
                     61,                0.77916,                0.48097,                0.88712,                0.83616,                0.84547,                0.87747,                0.64757,                0.92888,                0.55362,                0.95768,               0.000812,               0.000812,               0.000812
                     62,                0.76451,                0.47542,                0.87813,                 0.8626,                0.82504,                 0.8786,                0.65134,                0.93612,                0.55108,                0.96179,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.7662,                0.47487,                0.87838,                0.84463,                0.84281,                0.87809,                0.65347,                0.92447,                 0.5557,                0.95722,              0.0007724,              0.0007724,              0.0007724
                     64,                0.76543,                0.46772,                0.88014,                0.84568,                0.85879,                0.88151,                0.65621,                0.92868,                0.54969,                0.95597,              0.0007526,              0.0007526,              0.0007526
                     65,                0.75873,                0.46879,                0.87917,                 0.8446,                0.84472,                0.88179,                0.65678,                0.92306,                0.54432,                0.94491,              0.0007328,              0.0007328,              0.0007328
                     66,                0.74061,                0.45861,                0.87585,                0.84757,                0.84934,                0.88845,                0.65917,                0.91876,                0.54212,                0.94925,               0.000713,               0.000713,               0.000713
                     67,                0.76702,                0.46773,                 0.8824,                0.86176,                0.83599,                0.88208,                0.66176,                0.90297,                0.54499,                0.94454,              0.0006932,              0.0006932,              0.0006932
                     68,                0.74494,                0.46011,                  0.881,                0.84471,                0.85025,                0.88559,                0.66334,                0.92212,                0.54461,                0.95769,              0.0006734,              0.0006734,              0.0006734
                     69,                0.72823,                0.44988,                0.87336,                0.87247,                0.86323,                0.89696,                 0.6708,                0.93142,                0.53079,                0.95381,              0.0006536,              0.0006536,              0.0006536
                     70,                0.73049,                0.44313,                0.87085,                0.86054,                0.85435,                0.89562,                0.67255,                0.91546,                0.52099,                0.95185,              0.0006338,              0.0006338,              0.0006338
                     71,                0.74145,                0.45004,                0.87586,                0.86526,                0.82698,                0.88988,                0.67086,                0.91591,                0.53605,                0.94739,               0.000614,               0.000614,               0.000614
                     72,                0.72664,                 0.4396,                0.86698,                0.84383,                0.84936,                0.88705,                0.66408,                0.92455,                0.53897,                0.95246,              0.0005942,              0.0005942,              0.0005942
                     73,                0.71988,                0.44322,                 0.8639,                0.87535,                0.83575,                0.89206,                0.66495,                0.92222,                0.54196,                0.94919,              0.0005744,              0.0005744,              0.0005744
                     74,                0.74223,                0.44126,                0.87346,                0.85283,                0.85431,                0.88224,                0.66463,                0.91996,                0.53349,                0.95383,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7369,                0.44957,                0.87201,                0.85365,                0.84437,                0.87821,                0.66551,                0.91323,                 0.5328,                0.95333,              0.0005348,              0.0005348,              0.0005348
                     76,                0.72363,                0.43614,                0.86997,                0.86317,                0.84597,                0.87898,                0.66076,                0.91524,                 0.5326,                0.95278,               0.000515,               0.000515,               0.000515
                     77,                0.74061,                0.44172,                0.87525,                0.86434,                0.84312,                0.87914,                0.66326,                0.91524,                0.53366,                0.95525,              0.0004952,              0.0004952,              0.0004952
                     78,                0.71709,                0.43953,                0.87018,                0.86524,                0.84103,                 0.8834,                0.66721,                0.90443,                0.52585,                0.94545,              0.0004754,              0.0004754,              0.0004754
                     79,                0.71486,                 0.4421,                0.86987,                0.86189,                0.83136,                0.88101,                0.66829,                0.90579,                0.52628,                0.94426,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72778,                0.44489,                0.87253,                0.83492,                0.85613,                0.88171,                0.65778,                0.91391,                0.53254,                0.94914,              0.0004358,              0.0004358,              0.0004358
                     81,                0.70787,                0.42762,                0.86783,                0.85344,                0.84815,                0.88972,                0.66244,                0.92169,                0.53014,                0.95099,               0.000416,               0.000416,               0.000416
                     82,                0.71908,                0.43751,                0.86742,                0.85984,                0.83357,                0.88742,                0.66573,                0.91133,                0.52205,                0.95086,              0.0003962,              0.0003962,              0.0003962
                     83,                0.71482,                0.42465,                0.86713,                0.81461,                 0.8659,                0.87069,                0.65595,                0.91924,                0.53447,                0.95435,              0.0003764,              0.0003764,              0.0003764
                     84,                0.70862,                0.42764,                0.86746,                0.84096,                0.85879,                0.88024,                0.65634,                0.92627,                0.53635,                0.95452,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72431,                0.43225,                0.86898,                0.85604,                 0.8508,                0.87687,                0.65176,                0.91216,                0.52717,                0.94921,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.7113,                0.43454,                0.87053,                0.85102,                0.84215,                0.87926,                0.65678,                0.91269,                0.53119,                0.95019,               0.000317,               0.000317,               0.000317
                     87,                0.70907,                0.42505,                 0.8639,                0.85304,                0.85258,                0.88484,                0.66289,                 0.9136,                0.53002,                0.95223,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69963,                0.42275,                0.86028,                0.83111,                0.87567,                0.88749,                0.66303,                0.91362,                0.52676,                0.95353,              0.0002774,              0.0002774,              0.0002774
                     89,                0.70396,                0.42249,                0.87072,                0.85766,                0.84547,                0.88451,                0.66035,                0.91776,                0.52365,                 0.9553,              0.0002576,              0.0002576,              0.0002576
                     90,                0.68999,                 0.4161,                0.85993,                0.83983,                0.85968,                0.88119,                0.66107,                0.92258,                0.52499,                 0.9567,              0.0002378,              0.0002378,              0.0002378
                     91,                0.69077,                 0.4072,                0.87061,                0.86373,                0.84636,                0.88336,                0.66167,                0.91642,                0.52323,                0.95057,               0.000218,               0.000218,               0.000218
                     92,                0.68289,                0.40123,                0.86577,                 0.8629,                0.83844,                0.88529,                0.65771,                0.90439,                 0.5233,                0.94857,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.6713,                0.39798,                0.86123,                0.86373,                0.83313,                0.88593,                0.66299,                0.90538,                 0.5196,                 0.9498,              0.0001784,              0.0001784,              0.0001784
                     94,                0.67249,                0.39933,                0.85939,                0.85997,                0.84458,                0.88424,                0.66175,                0.91525,                0.52295,                0.95329,              0.0001586,              0.0001586,              0.0001586
                     95,                0.67589,                0.39539,                0.86002,                0.85881,                0.84991,                0.88012,                0.66097,                0.91681,                0.52175,                0.95342,              0.0001388,              0.0001388,              0.0001388
                     96,                0.68048,                 0.3956,                0.86023,                 0.8335,                0.86057,                0.87423,                 0.6577,                0.90971,                0.52467,                0.94971,               0.000119,               0.000119,               0.000119
                     97,                0.66486,                0.38937,                0.85957,                0.84347,                0.84725,                0.87479,                0.65879,                  0.907,                0.52266,                0.94852,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.67572,                0.39009,                0.86836,                0.85859,                0.84117,                0.88375,                0.66589,                0.90769,                0.52051,                0.94895,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.66763,                0.38565,                0.85914,                0.86467,                0.83748,                0.88462,                 0.6645,                0.91016,                0.52047,                0.95006,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.66436,                0.38819,                0.85829,                0.87104,                0.83837,                0.88412,                0.66263,                0.91061,                0.52049,                0.94971,               3.98e-05,               3.98e-05,               3.98e-05
